Panchkula,4
Navsari,1
Moradabad,2
Subrahmanya,3
Ankleshwar,2
Ratnagiri,12
Umbergaon,2
Thirukkadaiyur,3
Karaikal,6
Rajkot,5
Kumbhalgarh,6
"Navi Mumbai",1
Calcutta,1
" Pachmarhi",1
Madikeri,8
Raigad,1
Ludhiana,7
Tithal,1
Sirsi,6
Tawang,5
Bhubaneshwar,8
Taptapani,2
Patnitop,6
Pudukkottai,1
Pathankot,1
Tiruchirapalli,4
Hubli,9
Siliguri,10
Bikaner,1
Khajuraho,1
Courtallam,5
Keonjhar,3
Aurangabad,9
Bahraich,1
Nizamabad,3
" Calangute",2
Cuttack,5
Yellapur,2
Gorakhpur,7
Bhandardara,3
Mathura,5
Pahalgam,1
Eluru,4
Sikkim,3
Chail,3
Vizianagaram,1
Sriperumbudur,3
Jabalpur,4
Guntur,6
Thiruvananthapuram,8
Nellore,13
Zirakpur,4
Thalassery,2
Bellary,4
" Nasik",1
Chittorgarh,3
Jamnagar,4
Kurnool,6
Akola,1
Palghar,4
Jamshedpur,8
Shimoga,7
Raipur,3
Kausani,2
Mangalore,12
Nagapattinam,1
Chitradurga,3
Somnath,13
Kota,6
Palanpur,1
Malappuram,1
Bandipur,7
Karwar,2
Vadodara,4
Manikaran,2
Mandya,3
Lakshadweep,2
Dandeli,9
Belgaum,10
Nagarhole,1
Mandu,7
Karnal,4
Baddi,2
Thiruvarur,2
Lachung,2
Belur,1
" Madurai",2
Bilaspur,6
Saharanpur,1
Hassan,3
" Malvan",2
Shrivardhan,2
Rajahmundry,3
Nagaur,1
Tuticorin,3
Hospet,2
" Dwarka",1
Bagalkot,1
Srinagar,4
Anantapur,5
Karaikudi,3
" Kolkata",3
Mirzapur,2
Rudrapur,1
Jalpaiguri,1
Shamirpet,12
Ambala,3
Warangal,5
" Puri",2
Kabini,3
Pali,2
Cuddapah,1
Sonipat,1
" Valsad",2
Nagpur,6
Kottayam,2
Haldwani,3
" Thane",4
" Coimbatore",1
Jhansi,4
Ranthambore,2
" Port Blair",1
Porbandar,1
Panipat,1
Kullu,3
"Lakhimpur Kheri",1
Jaisalmer,3
Puttur,1
" Bolpur",1
Basti,1
" Chirala",3
Kushinagar,2
" Lonavala",2
Meerut,1
Ramnagar,2
" Vellore",2
Betul,1
Una,2
" Ghoghala",1
Chamba,2
Angamaly,1
" Madikeri",1
Angul,1
Mandla,1
Sangli,3
Idukki,3
Namakkal,1
Sariska,1
" Manali",1
Siliserh,1
" Bhopal",2
Kothamangalam,1
" Bangalore",4
Bhedaghat,2
Gondal,2
" Palakkad",1
Kasaragod,2
Sivakasi,3
" Guwahati",2
" Lucknow",1
Roorkee,2
" Shrivardhan",1
" Patna",1
Indore,4
Hosur,5
Pushkar,4
Sambalpur,3
Mundra,1
" Hyderabad",3
Noida,2
Kushalanagar,1
" Mumbai",2
Horanadu,1
" Saputara",1
" Canacona",1
" Dahanu",2
Kundapur,1
Mehsana,1
" Hajipur",1
" Bakkhali",1
" Sangli",1
Bombay,1
" Saharanpur",1
Kotagiri,1
Udagamandalam,1
" Yadagirigutta",2
Vapi,2
Phulbani,1
Kovai,1
Kemmangundi,3
Agartala,2
Bahadurgarh,1
Mahbubnagar,1
Kotputli,1
Kollam,1
" Auli Laga Salude",1
"Bokaro Steel City",1
Adipur,1
" Chikballapur",1
" Baga",1
Gadag,1
Kankavli,1
Valsad,1
Gandhinagar,1
" Erode",1
Kangra,1
"Sawai Madhopur",1
" Thrissur",1
" Thoothukudi",1
" South Andaman",1
" Valparai",1
" Dewas",1
" Padam Dungari",1
" Pune",1
Golaghat,1
" Chittoor",1
Kosi,1
" Ernakulam",1
Ahmednagar,1
